,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
%QUESTION,-0.010984191886806813,-0.14931769535075542,-0.20949279705000418,0.013145602645027172,0.5053898295367889,-0.055569165839155596,0.08054534822669268,0.08635534374799726,0.09510068275015277,-0.15988478358612446,-0.2370545943959398,-0.024868204438125374,-0.7292460872785853,-0.0782092827357609,-0.044806500912327754,0.14705352982706557,-0.05038441877918499,0.03642252358992687,0.0013145865050386795,0.0650435499603775,-0.000955324677612021,-0.0019816317205046453
%RB,0.035299472308811315,-0.09392887570185911,-0.25278496756490504,0.2907258252719217,-0.21701713845944207,-0.35914178215136056,0.08357576350734554,-0.11538018040868542,0.28241268044811724,-0.32727493534083457,0.4322293953271897,0.39774311532635853,-0.029387792605617438,-0.07324372923368816,0.013202450623658895,0.04707891251526822,-0.03559900161820008,0.0011201601193030685,-0.050161151761504326,0.315527138228462,0.02365740106613738,0.026915185611143436
%REPEATED,0.11437205530101667,-0.10488519337676243,0.03036337445123642,0.003135371974397464,-0.28941676513411096,0.5712839788414492,-0.24169480938614085,-0.07110022379325945,0.17683450210176954,-0.25897411481508326,-0.3352007866621154,0.3681523380806445,-0.028233848181343585,-0.2703308566554487,-0.023422043691579474,0.18973283475217706,0.03122556928115296,0.02196134075248252,-0.02308602501806072,-0.04853930643395357,0.08149021911660423,-0.18369394121023847
%VB,0.1919536178426269,0.09462051571807581,-0.13358372834953564,0.35634547316519793,-0.03933197125150047,0.31197163274245665,0.3756075048871153,-0.32132355731531675,-0.0944980441789221,0.17172045084732665,-0.11202461634507001,-0.1502686028323893,0.012570958257639459,0.17982122001914064,-0.4924035880541703,0.020801248714911135,-0.0036815864260876844,0.010477027123598718,-0.03799814524979968,0.3392980270872459,0.01121704682923706,0.02047258233573947
AVG_WFREQ,0.3099998322021259,-0.23631696973333144,0.3650471720894832,0.02892749669123366,0.1026242402637638,-0.059565304063178795,-0.0332499775439299,-0.1434831649800313,-0.015103428867769352,0.01004971802299089,0.046777597349380876,0.10406055804357821,0.006281140897160554,0.024369303398333077,-0.018035384271131882,0.13551760343463454,0.04272350453095994,0.2430144679078711,-0.024468746655876686,-0.011215790290530112,-0.7628130041344511,0.04501587008185396
AVG_WLEN,-0.3797627515118312,-0.17269404684593062,0.15883608453662396,0.21969599171747325,-0.00433954002017005,0.03931762449452679,0.07841704460792544,0.04813946701914271,0.13604269336911945,-0.01124151658891689,0.07048118665779042,-0.11955447435643324,0.05477300254170218,-0.15351693528867397,-0.15265277447136996,0.1653047573580238,0.14363601981359092,-0.04977636913604483,0.7750023004515086,-0.029407860343817552,-0.05165257400250603,-0.008315687949192036
LM,0.19030962520837685,-0.3998742710443939,0.07360215905315033,0.02044005050910418,-0.05767198874042386,0.04020885013113213,0.10555743064175341,0.15459635561992854,-0.0325441791797983,0.026947026507751982,-0.020477433484779275,-0.07183901433924503,-0.06817369760932249,-0.35061294612932614,-0.010547307846592377,-0.7413685317930508,0.21180312242236857,-0.013833228496757189,0.017344303659944355,0.15946159053308362,0.04222893085481381,-0.028590683796755494
LOGTYPES,-0.16598715016827356,-0.2987356016123464,-0.43798316098886775,-0.09628265733708774,-0.18288307469647577,-0.03804295217409566,-0.08093665743144116,0.030071364653520657,-0.047960327766733826,0.021934304440786662,-0.03524646970393106,-0.22020901507448296,0.049477661867206306,0.24722244367732843,0.028525508191398482,0.011046231263907606,0.021761472235363684,0.06789386073942189,-0.018315797139548583,0.05689885452839762,-0.25033965668915303,-0.6718726309214211
LOGWORDS,-0.09448224521247954,-0.32536617509196725,-0.4359052934548165,-0.14130758259607615,-0.23104331537455614,0.11521048588943024,-0.16357843426224494,0.025684274061790864,-0.011515791980376193,-0.03376712217724628,-0.1098969352576112,-0.12944083094077424,0.04663515375521887,0.1302362200049576,-0.008503095103336291,0.009372058961018694,-0.04435754258365729,0.0906995550886792,0.04081771586167733,-0.006455746378448756,-0.14061816078713987,0.7071632538286272
SD_WFREQ,-0.19980571760790125,0.4235917167066174,-0.20578452049268608,0.0009581618344504277,-0.0440358023976049,0.13381427883441538,0.09311390475388036,0.16315079134314114,0.104301966834107,0.010875580526703121,-0.029133415052786653,0.06465009083635542,-0.035612344693125235,-0.26381530004437675,-0.042095458803209126,-0.21065315274354487,-0.21702780586659243,-0.4425481718493658,-0.031821244431945096,-0.0034088913393310817,-0.5529943162410308,0.018702276721743145
